,x,low,q1,median,q3,high
0,日,-0.0167763258464048,-0.0031612306622027,0.0,0.0059154994605987,0.019530594644800798
1,周,-0.0740153760871537,-0.003000558567954892,0.0,0.04434265311151098,0.11535747063070978
2,月,-0.27018627050694377,-0.002200912291090429,0.06818047292832108,0.17645599318614513,0.4444413514019985
