date,1,2,3,4,5,6,7,8,9,10,11,12
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,30.099999999999998
2018,1.7000000000000002,20.9,20.8,-1.9,9.700000000000001,6.4,-19.900000000000002,19.900000000000002,5.6000000000000005,3.2,15.2,4.8
2019,7.1,-4.6,0.0,-3.1,-7.5,-19.6,19.1,11.799999999999999,0.0,17.4,17.9,0.0
2020,-0.4,8.200000000000001,6.5,34.1,9.2,-3.1,23.0,3.4000000000000004,-7.9,21.0,11.3,18.5
2021,14.499999999999998,63.1,29.9,13.100000000000001,30.8,20.9,-7.6,-15.299999999999999,6.0,-12.5,14.899999999999999,12.6
2022,5.800000000000001,12.0,-3.5000000000000004,17.7,19.3,0.0,0.2,13.100000000000001,4.3999999999999995,0.0,18.7,-3.8
2023,36.6,2.8000000000000003,20.0,3.0,-2.1,12.2,-1.2,-0.5,3.8,25.3,-0.6,12.3
2024,17.0,33.0,0.0,-7.000000000000001,11.4,-7.000000000000001,7.6,-0.5,16.900000000000002,8.5,21.7,6.2
