time_stamp,回撤比率%
1511913600.0,-0.0
1512000000.0,-0.29345449127488044
1512086400.0,-0.0
1512172800.0,-0.0
1512259200.0,-0.29593753643584453
1512345600.0,-0.0
1512432000.0,-0.2782163807913102
1512518400.0,-0.7045714619191588
1512604800.0,-0.992064322018447
1512691200.0,-0.0
1512777600.0,-0.0
1512864000.0,-0.0
1512950400.0,-0.0
1513036800.0,-0.0
1513209600.0,-0.0
1513296000.0,-0.0
1513382400.0,-0.0
1513468800.0,-0.0
1513555200.0,-0.0
1513641600.0,-0.0
1513728000.0,-0.0
1513814400.0,-0.0
1513900800.0,-0.0
1513987200.0,-0.0
1514073600.0,-0.27831831106500327
1514160000.0,-4.099949341142256
1514246400.0,-4.099949341142256
1514332800.0,-4.099949341142256
1514419200.0,-4.099949341142256
1514505600.0,-4.099949341142256
1514592000.0,-4.099949341142256
1514678400.0,-4.099949341142256
1514764800.0,-4.372357457760878
1514851200.0,-7.3127521646468425
1514937600.0,-7.571132485802734
1515024000.0,-5.378129381338921
1515110400.0,-5.378129381338921
1515196800.0,-5.378129381338921
1515283200.0,-5.378129381338921
1515369600.0,-5.378129381338921
1515456000.0,-5.378129381338921
1515542400.0,-5.378129381338921
1515628800.0,-5.378129381338921
1515715200.0,-5.378129381338921
1515801600.0,-5.65025642671656
1515888000.0,-3.454791179101425
1515974400.0,-3.454791179101425
1516060800.0,-3.454791179101425
1516147200.0,-3.454791179101425
1516233600.0,-3.7222849051153952
1516320000.0,-4.976474525423356
1516406400.0,-5.251944237841782
1516492800.0,-0.0
1516579200.0,-0.264405391421167
1516665600.0,-6.183807807251032
1516752000.0,-6.183807807251032
1516838400.0,-6.183807807251032
1516924800.0,-6.183807807251032
1517011200.0,-6.183807807251032
1517097600.0,-6.183807807251032
1517184000.0,-6.183807807251032
1517270400.0,-6.183807807251032
1517356800.0,-6.5518009801407855
1517443200.0,-0.0
1517529600.0,-0.0
1517616000.0,-2.59507354449067
1517702400.0,-0.0
1517788800.0,-0.0
1517875200.0,-6.36081388756145
1517961600.0,-6.36081388756145
1518048000.0,-6.36081388756145
1518134400.0,-6.36081388756145
1518220800.0,-6.36081388756145
1518307200.0,-6.36081388756145
1518393600.0,-6.36081388756145
1518480000.0,-6.36081388756145
1518566400.0,-6.36081388756145
1518652800.0,-6.748311044235127
1518739200.0,-7.111069328221152
1518825600.0,-15.215853094119533
1518912000.0,-9.922446029112873
1518998400.0,-16.60006233564517
1519084800.0,-16.7146175832197
1519171200.0,-10.041774412002995
1519257600.0,-4.06103586154911
1519344000.0,-7.492920153469569
1519430400.0,-2.460126276694951
1519516800.0,-1.107897041783879
1519603200.0,-8.38072332217221
1519689600.0,-11.893750914457968
1519776000.0,-8.323445698384955
1519862400.0,-14.456924578938215
1519948800.0,-15.26358444727556
1520035200.0,-19.48303606627096
1520121600.0,-20.160821281086953
1520208000.0,-20.251510852083456
1520294400.0,-12.041718109241724
1520380800.0,-4.386086376541796
1520467200.0,-0.0
1520553600.0,-0.0
1520640000.0,-0.0
1520726400.0,-6.094152425920279
1520812800.0,-2.6212474812680666
1520899200.0,-3.091034181557217
1520985600.0,-0.0
1521072000.0,-1.0132804284026797
1521158400.0,-1.0132804284026797
1521244800.0,-1.0132804284026797
1521331200.0,-1.0132804284026797
1521417600.0,-1.0132804284026797
1521504000.0,-1.0132804284026797
1521590400.0,-1.0132804284026797
1521676800.0,-1.0132804284026797
1521763200.0,-1.0132804284026797
1521849600.0,-1.0132804284026797
1521936000.0,-1.0132804284026797
1522022400.0,-1.0132804284026797
1522108800.0,-1.0132804284026797
1522195200.0,-1.0132804284026797
1522281600.0,-1.0132804284026797
1522368000.0,-1.0132804284026797
1522454400.0,-1.0132804284026797
1522540800.0,-1.0132804284026797
1522627200.0,-1.0132804284026797
1522713600.0,-1.0132804284026797
1522800000.0,-1.0132804284026797
1522886400.0,-1.0132804284026797
1522972800.0,-1.0132804284026797
1523059200.0,-1.0132804284026797
1523145600.0,-1.0132804284026797
1523232000.0,-1.0132804284026797
1523318400.0,-1.0132804284026797
1523404800.0,-1.0132804284026797
